term_id,category_name,slug,description,thumbnail_id,thumbnail_url
177,Bhutan,bhutan,,1687,https://new.hikingnepal.com/wp-content/uploads/2022/11/1507788470-bhutan.jpg
176,Nepal,nepal,,1215,https://new.hikingnepal.com/wp-content/uploads/2022/11/himalayas-3989411.jpg
178,Tibet,tibet,,2747,https://hikingnepal.com/wp-content/uploads/2022/11/IMG_2637.jpg
